station_id,station_lat,station_lon
KNYNEWYO1570,40.71,-74.01
KNYNEWYO1271,40.71,-74.02
KNYNEWYO900,40.7,-73.99
KNYNEWYO1267,40.72,-74.00
KNYNEWYO1730,40.69,-73.98
KNJJERSE128,40.72,-74.04
KNYNEWYO638,40.73,-73.98
KNYNEWYO1387,40.73,-74
KNYGOWAN6,40.68,-73.99
KNYNEWYO1749,40.72,-73.95
KNYNEWYO1626,40.79,-73.96
KNJHOBOK63,40.74,-74.03
KNJJERSE137,40.73,-74.07
KNYNEWYO1597,40.68,-73.97
KNYNEWYO1571,40.75,-74
KNYNEWYO1299,40.66,-73.99
KNYNEWYO1120,40.66,-73.98
KNJHOBOK65,40.75,-74.04
KNJJERSE108,40.73,-74.07
KNYNEWYO1348,40.72,-73.95
KNYNEWYO728,40.69,-73.95
KNJWEEHA9,40.77,-74.03
KNYNEWYO1671,40.66,-73.99
KNYNEWYO655,40.72,-73.95
KNYNEWYO1130,40.74,-73.96
KNYNEWYO1628,40.76,-73.99
KNYNEWYO1401,40.66,-73.96
KNYNEWYO1579,40.77,-73.96
